Respondent,Gender,Type of Employment,Position,Minimum Wage Increase,Job Retention,Operational Costs Change %,Efficiency Change %,Profitability Impact %
R1,0,Contractual,Entry-level,34.69,0,6.99,7.48,0.08
R2,1,Part-time,Mid-level,35.27,2,5.77,0.32,7.98
R3,0,Contractual,Supervisor,35.3,1,14.08,5.18,-4.15
R4,0,Contractual,Entry-level,35.93,2,12.36,-3.4,6.69
R5,0,Full-time,Mid-level,33.51,1,8.57,-4.53,-5.73
R6,1,Contractual,Entry-level,34,0,15.33,-1.75,-0.08
R7,0,Full-time,Entry-level,35.32,1,14.27,-3.13,-2.36
R8,0,Contractual,Entry-level,36.47,1,18.94,-3.92,-4.26
R9,0,Contractual,Entry-level,35.25,1,12.83,4.25,1.8
R10,1,Full-time,Supervisor,33.95,1,9.18,10.89,1.4
R11,0,Full-time,Entry-level,35.72,1,9.29,-1.33,-2.92
R12,0,Contractual,Entry-level,35.96,1,0.33,-6.46,-9.38
R13,0,Part-time,Entry-level,33.95,1,10.75,5.28,-2.68
R14,0,Full-time,Supervisor,34.51,0,9.92,-5.18,-0.44
R15,1,Part-time,Entry-level,35.14,1,3.35,-3.92,-0.99
R16,0,Part-time,Entry-level,34.99,1,9.87,4.47,2.02
R17,1,Part-time,Supervisor,34.56,2,16.72,1.17,6.73
R18,1,Full-time,Supervisor,34.19,1,6.33,-1.44,0.66
R19,1,Part-time,Supervisor,33.4,2,5.2,2.34,1.27
R20,0,Full-time,Entry-level,33.21,1,15.52,-0.05,-0.41
R21,1,Part-time,Supervisor,36.83,2,13.17,11.45,3.69
R22,0,Contractual,Supervisor,36.39,1,25.31,-1.38,1.13
R23,1,Contractual,Entry-level,34.42,0,3.41,-2.57,2
R24,1,Full-time,Supervisor,36.83,1,13.6,-0.28,6.24
R25,1,Contractual,Entry-level,35.71,1,11.58,-0.06,-0.09
R26,1,Contractual,Mid-level,34.93,2,10.3,4.98,-2.08
R27,1,Part-time,Supervisor,34.97,1,14.55,-7.96,0.79
R28,1,Full-time,Mid-level,33.33,1,9.85,4.13,3.54
R29,1,Part-time,Entry-level,33.37,1,0.32,-0.71,1.01
R30,1,Part-time,Supervisor,35.41,2,5.76,5.88,3.24
R31,0,Part-time,Entry-level,35.21,1,16.82,1.76,-3.68
R32,0,Part-time,Mid-level,33.85,0,15.86,4.59,-4.47
R33,1,Part-time,Entry-level,36.78,2,8.13,0.04,-3.18
R34,1,Part-time,Supervisor,36.13,1,12.52,4.19,-6.07
R35,1,Part-time,Supervisor,33.45,1,23.92,10.32,-0.56
R36,0,Full-time,Mid-level,36.72,2,9.84,-1.7,-2.72
R37,1,Contractual,Entry-level,36.9,1,9.94,1.46,3.92
R38,0,Part-time,Supervisor,36.98,1,10.95,-0.43,-6.16
R39,0,Part-time,Mid-level,33.22,1,13.03,9.96,5.22
R40,0,Part-time,Supervisor,35.95,1,8.26,-0.17,-4.92
R41,0,Part-time,Supervisor,35.18,1,13.03,-1.66,-5.95
R42,0,Part-time,Entry-level,35.82,1,0.28,-0.89,-4.3
R43,1,Part-time,Supervisor,36.87,0,11.68,1.32,6.81
R44,1,Contractual,Entry-level,35.75,2,10.25,-1.97,-1.16
R45,1,Contractual,Supervisor,36.35,1,8.91,0.16,1.12
R46,1,Part-time,Mid-level,36.47,1,7.62,2.79,-1.74
R47,1,Contractual,Supervisor,36.35,2,6.95,1.42,-1.36
R48,0,Full-time,Entry-level,34.7,2,5.93,6.16,-3.02
R49,1,Part-time,Entry-level,33.89,1,-1.59,0.4,-0.8
R50,1,Full-time,Mid-level,34.59,2,8.66,0.98,0.98
