beginning_of_interval,post_count,total_interactions
1/1/2015,4125,269593
2/1/2015,4233,264807
3/1/2015,4688,276166
4/1/2015,4594,309416
5/1/2015,5501,486107
6/1/2015,5511,635514
7/1/2015,6094,520259
8/1/2015,5773,622210
9/1/2015,5895,607679
10/1/2015,6163,587890
11/1/2015,6171,820166
12/1/2015,6124,730071
1/1/2016,6149,858146
2/1/2016,6015,631970
3/1/2016,6401,809075
4/1/2016,6372,793698
5/1/2016,5955,1081838
6/1/2016,6594,1081192
7/1/2016,6612,1085960
8/1/2016,6573,1034825
9/1/2016,6500,1058162
10/1/2016,6274,984544
11/1/2016,6151,959512
12/1/2016,6262,1149035
1/1/2017,6626,1137618
2/1/2017,6558,1041006
3/1/2017,7325,908604
4/1/2017,7047,861273
5/1/2017,7556,809944
6/1/2017,7536,969809
7/1/2017,7500,1085414
8/1/2017,6880,1050666
9/1/2017,6903,1127630
10/1/2017,7266,1165671
11/1/2017,7350,1342502
12/1/2017,6865,1091017
1/1/2018,7173,1387092
2/1/2018,6757,1196671
3/1/2018,7149,1280369
4/1/2018,6992,818804
5/1/2018,7046,980813
6/1/2018,6990,898345
7/1/2018,7119,998936
8/1/2018,6796,1024200
9/1/2018,6843,917851
10/1/2018,7544,959590
11/1/2018,7046,1136091
12/1/2018,6605,880287
1/1/2019,7302,1292071
2/1/2019,6595,1001985
3/1/2019,6921,1235264
4/1/2019,6519,1210376
5/1/2019,6791,1450846
6/1/2019,6462,1263781
7/1/2019,6667,1323313
8/1/2019,6267,1176042
9/1/2019,6355,1103547
10/1/2019,6898,1367468
11/1/2019,6645,1421249
12/1/2019,6444,1591757
1/1/2020,6942,1436514
2/1/2020,6879,1387786
3/1/2020,8650,2254588
4/1/2020,7635,1772834
5/1/2020,6961,1490208
6/1/2020,6609,1536996
7/1/2020,7286,1714003
8/1/2020,6952,1846693
9/1/2020,7180,2074206
10/1/2020,7503,1970749
11/1/2020,7497,2052292
12/1/2020,7130,2048811
